lat,lon,alt,date,device,os,version
40.677936554,-73.9779052734,28.8272476196,2015-02-02 17:25:20,"iPhone3,1",7.1.2,1.1
40.6781578064,-73.9776382446,30.0293502808,2015-02-04 14:17:36,"iPhone3,1",7.1.2,1.1
40.6779022217,-73.9780883789,28.9623565674,2015-02-04 22:15:28,"iPhone3,1",7.1.2,1.1
40.6781463623,-73.9777526855,28.9623565674,2015-02-04 22:17:36,"iPhone3,1",7.1.2,1.1
40.6779518127,-73.9779281616,29.4081382751,2015-02-04 22:17:36,"iPhone3,1",7.1.2,1.1
40.683303833,-73.9766616821,30.97315979,2015-02-05 12:07:28,"iPhone3,1",7.1.2,1.1
40.7034759521,-73.9856643677,32.0476570129,2015-02-05 12:30:56,"iPhone3,1",7.1.2,1.1
40.7495613098,-73.9922561646,19.4856681824,2015-02-05 12:35:12,"iPhone3,1",7.1.2,1.1
40.7717781067,-74.0382156372,14.4345264435,2015-02-05 12:56:32,"iPhone3,1",7.1.2,1.1
40.7591400146,-74.086151123,9,2015-02-05 13:02:56,"iPhone3,1",7.1.2,1.1
40.7468452454,-74.1642456055,14,2015-02-05 13:07:12,"iPhone3,1",7.1.2,1.1
40.769657135,-74.2237243652,14,2015-02-05 13:15:44,"iPhone3,1",7.1.2,1.1
40.7487106323,-74.2588272095,57.6572036743,2015-02-05 13:22:08,"iPhone3,1",7.1.2,1.1
40.7269668579,-74.2865066528,46.2756729126,2015-02-05 13:26:24,"iPhone3,1",7.1.2,1.1
40.7251205444,-74.3233947754,64.4293136597,2015-02-05 13:32:48,"iPhone3,1",7.1.2,1.1
40.7166061401,-74.3573760986,118.327194214,2015-02-05 13:37:04,"iPhone3,1",7.1.2,1.1
40.706035614,-74.3575210571,95.5317306519,2015-02-05 13:52:00,"iPhone3,1",7.1.2,1.1
40.6508598328,-74.4715194702,106.125717163,2015-02-05 13:58:24,"iPhone3,1",7.1.2,1.1
40.6466178894,-74.4844894409,108.979949951,2015-02-05 13:58:24,"iPhone3,1",7.1.2,1.1
40.6461296082,-74.4857025146,108.979949951,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6483955383,-74.4906539917,142.603439331,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6481971741,-74.4935150146,100.147857666,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6480484009,-74.494682312,100.379943848,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6478424072,-74.4960098267,100.183761597,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6481437683,-74.5161056519,73.3536376953,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6481742859,-74.5173339844,71.3752288818,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6481437683,-74.5185928345,71.804145813,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.648059845,-74.5198135376,72.1254272461,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6479301453,-74.5210952759,77.6023254395,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6477966309,-74.5223922729,77.2527770996,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6477394104,-74.5230255127,77.7225646973,2015-02-05 14:00:32,"iPhone3,1",7.1.2,1.1
40.6474075317,-74.52709198,79.3316955566,2015-02-05 14:02:40,"iPhone3,1",7.1.2,1.1
40.6471672058,-74.5311737061,112.894386292,2015-02-05 14:02:40,"iPhone3,1",7.1.2,1.1
40.6467895508,-74.5448226929,69.5781860352,2015-02-05 14:02:40,"iPhone3,1",7.1.2,1.1
40.6465454102,-74.5490875244,58.9283943176,2015-02-05 14:02:40,"iPhone3,1",7.1.2,1.1
40.6717681885,-74.6304244995,70.022354126,2015-02-05 14:15:28,"iPhone3,1",7.1.2,1.1
40.6700134277,-74.6362686157,72.9236221313,2015-02-05 14:28:16,"iPhone3,1",7.1.2,1.1
40.6808395386,-74.6456604004,61.2172203064,2015-02-05 17:33:52,"iPhone3,1",7.1.2,1.1
40.6762504578,-74.6455230713,50.5935897827,2015-02-05 18:27:12,"iPhone3,1",7.1.2,1.1
40.6709022522,-74.6356582642,57.0001449585,2015-02-05 18:31:28,"iPhone3,1",7.1.2,1.1
40.670009613,-74.6362838745,72.4637069702,2015-02-05 19:14:08,"iPhone3,1",7.1.2,1.1
40.6699371338,-74.635559082,66.935218811,2015-02-05 20:03:12,"iPhone3,1",7.1.2,1.1
40.657119751,-74.6430587769,45.1705169678,2015-02-05 21:15:44,"iPhone3,1",7.1.2,1.1
40.7238349915,-74.5419998169,86.9315490723,2015-02-05 21:26:24,"iPhone3,1",7.1.2,1.1
40.7016487122,-74.5702972412,111.958442688,2015-02-05 22:32:32,"iPhone3,1",7.1.2,1.1
40.696144104,-74.121673584,99.9611358643,2015-02-05 23:06:40,"iPhone3,1",7.1.2,1.1
40.7007865906,-74.1839523315,10.0985155106,2015-02-05 23:19:28,"iPhone3,1",7.1.2,1.1
40.6539230347,-74.1925964355,15.4351062775,2015-02-05 23:25:52,"iPhone3,1",7.1.2,1.1
40.6206016541,-74.1662826538,15.4351062775,2015-02-05 23:36:32,"iPhone3,1",7.1.2,1.1
40.6038627625,-74.0769424438,16.9960651398,2015-02-05 23:55:44,"iPhone3,1",7.1.2,1.1
40.634311676,-74.0154571533,32,2015-02-06 00:02:08,"iPhone3,1",7.1.2,1.1
40.6730918884,-73.9949264526,32,2015-02-06 00:06:24,"iPhone3,1",7.1.2,1.1
40.6857643127,-74.0023345947,16.5685577393,2015-02-06 00:10:40,"iPhone3,1",7.1.2,1.1
40.6906089783,-73.9905395508,23.5500011444,2015-02-06 00:17:04,"iPhone3,1",7.1.2,1.1
40.6831932068,-73.9764709473,33,2015-02-06 00:32:00,"iPhone3,1",7.1.2,1.1
40.6787338257,-73.9788818359,33,2015-02-06 00:38:24,"iPhone3,1",7.1.2,1.1
40.6969528198,-73.9857025146,31.0289764404,2015-02-06 16:40:32,"iPhone3,1",7.1.2,1.1
40.7181854248,-74.0036087036,14.0029439926,2015-02-06 16:46:56,"iPhone3,1",7.1.2,1.1
40.6833381653,-73.9765472412,28.3174247742,2015-02-06 22:34:40,"iPhone3,1",7.1.2,1.1
40.6782226562,-73.9785842896,28.8915500641,2015-02-06 22:43:12,"iPhone3,1",7.1.2,1.1
40.6743431091,-73.9755630493,32.9070777893,2015-02-07 15:42:56,"iPhone3,1",7.1.2,1.1
40.6713485718,-73.980178833,32.9979171753,2015-02-07 15:49:20,"iPhone3,1",7.1.2,1.1
40.6775245667,-73.9797363281,31.1833782196,2015-02-07 17:08:16,"iPhone3,1",7.1.2,1.1
40.6769943237,-73.9861755371,31.8561038971,2015-02-08 01:21:04,"iPhone3,1",7.1.2,1.1
