lat,lon,alt,date,device,os,version
41.3048820496,-72.9217681885,2.59054374695,2015-01-26 14:38:56,"iPhone5,1",7.1,1.1
41.300868988,-72.9244918823,5.06362724304,2015-01-26 14:53:52,"iPhone5,1",7.1,1.1
41.2965507507,-72.92628479,2.22159194946,2015-01-26 15:25:52,"iPhone5,1",7.1,1.1
41.2707481384,-72.9641571045,18.1597633362,2015-01-26 15:30:08,"iPhone5,1",7.1,1.1
41.2339439392,-73.017829895,8.96157646179,2015-01-26 15:36:32,"iPhone5,1",7.1,1.1
41.2127990723,-73.0816879272,11.0356731415,2015-01-26 15:40:48,"iPhone5,1",7.1,1.1
41.1939430237,-73.1319885254,7.64556694031,2015-01-26 15:45:04,"iPhone5,1",7.1,1.1
41.1781997681,-73.1869659424,4.98596000671,2015-01-26 15:51:28,"iPhone5,1",7.1,1.1
41.1673202515,-73.2200088501,6.08685112,2015-01-26 15:55:44,"iPhone5,1",7.1,1.1
41.1114463806,-73.3506011963,-28.6418113708,2015-01-26 16:06:24,"iPhone5,1",7.1,1.1
41.1043777466,-73.4033737183,10.4601421356,2015-01-26 16:12:48,"iPhone5,1",7.1,1.1
41.0781707764,-73.4420318604,18.5851345062,2015-01-26 16:17:04,"iPhone5,1",7.1,1.1
41.0700721741,-73.5084228516,16.5317897797,2015-01-26 16:23:28,"iPhone5,1",7.1,1.1
41.0435333252,-73.548324585,16.5317897797,2015-01-26 16:29:52,"iPhone5,1",7.1,1.1
41.0135955811,-73.6411819458,19.2090606689,2015-01-26 16:38:24,"iPhone5,1",7.1,1.1
40.9799690247,-73.6943893433,5.96257686615,2015-01-26 16:42:40,"iPhone5,1",7.1,1.1
40.9195404053,-73.7760620117,13.0955133438,2015-01-26 16:49:04,"iPhone5,1",7.1,1.1
40.9109268188,-73.8423156738,32.1594276428,2015-01-26 16:53:20,"iPhone5,1",7.1,1.1
40.8591423035,-73.8921737671,32.1594276428,2015-01-26 16:59:44,"iPhone5,1",7.1,1.1
40.8147506714,-73.9312896729,32.1594276428,2015-01-26 17:04:00,"iPhone5,1",7.1,1.1
40.7912101746,-73.9505004883,10.0387268066,2015-01-26 17:08:16,"iPhone5,1",7.1,1.1
40.7632789612,-73.9706344604,10.0387268066,2015-01-26 17:14:40,"iPhone5,1",7.1,1.1
40.7404403687,-73.9831619263,10.0387268066,2015-01-26 17:25:20,"iPhone5,1",7.1,1.1
40.7350120544,-73.9912872314,13.1568603516,2015-01-26 17:29:36,"iPhone5,1",7.1,1.1
40.7365837097,-73.9934844971,13.1667480469,2015-01-26 18:27:12,"iPhone5,1",7.1,1.1
40.7178268433,-73.9604415894,12.4096069336,2015-01-26 18:44:16,"iPhone5,1",7.1,1.1
40.717502594,-73.9583740234,9.17277050018,2015-01-26 19:46:08,"iPhone5,1",7.1,1.1
40.7159004211,-73.9599990845,13.0844545364,2015-01-27 17:36:00,"iPhone5,1",7.1,1.1
40.7274703979,-73.9804534912,10.5711307526,2015-01-27 17:46:40,"iPhone5,1",7.1,1.1
40.7350540161,-73.9911270142,15.2884521484,2015-01-27 17:53:04,"iPhone5,1",7.1,1.1
40.727935791,-73.9789505005,16.656627655,2015-01-27 22:06:56,"iPhone5,1",7.1,1.1
40.7179908752,-73.9594650269,9.73215866089,2015-01-27 22:13:20,"iPhone5,1",7.1,1.1
40.7163352966,-73.9582901001,12.8493356705,2015-01-28 03:05:36,"iPhone5,1",7.1,1.1
40.7169189453,-73.9588623047,6.7458190918,2015-01-28 15:36:32,"iPhone5,1",7.1,1.1
40.734046936,-73.9910583496,16.7234687805,2015-01-28 15:51:28,"iPhone5,1",7.1,1.1
40.7297210693,-73.9933319092,14.8156328201,2015-01-28 15:57:52,"iPhone5,1",7.1,1.1
40.725479126,-73.9966964722,14.0244407654,2015-01-28 16:06:24,"iPhone5,1",7.1,1.1
40.7143630981,-73.9943313599,16.3077888489,2015-01-28 16:25:36,"iPhone5,1",7.1,1.1
40.683391571,-73.9763412476,24.2940673828,2015-01-28 16:40:32,"iPhone5,1",7.1,1.1
40.6782608032,-73.9792251587,32.5979270935,2015-01-28 16:49:04,"iPhone5,1",7.1,1.1
40.6751976013,-73.981300354,30.3683719635,2015-01-28 17:21:04,"iPhone5,1",7.1,1.1
40.6736412048,-73.9773635864,32.3077316284,2015-01-28 18:05:52,"iPhone5,1",7.1,1.1
40.6792602539,-73.978515625,33.1898193359,2015-01-28 18:29:20,"iPhone5,1",7.1,1.1
40.7177848816,-73.9576416016,12.8004589081,2015-01-28 19:05:36,"iPhone5,1",7.1,1.1
40.7246017456,-73.9701004028,10.8451662064,2015-01-29 13:41:20,"iPhone5,1",7.1,1.1
40.7374916077,-73.9855499268,10.8451662064,2015-01-29 13:47:44,"iPhone5,1",7.1,1.1
40.7494316101,-73.9782409668,10.8451662064,2015-01-29 13:52:00,"iPhone5,1",7.1,1.1
41.3106689453,-72.9275283813,20.2642707825,2015-01-29 18:20:48,"iPhone5,1",7.1,1.1
41.3103942871,-72.9268569946,13.3197860718,2015-01-29 18:29:20,"iPhone5,1",7.1,1.1
41.3128318787,-72.929359436,19.2116661072,2015-01-29 21:11:28,"iPhone5,1",7.1,1.1
41.3085861206,-72.9314498901,19.7435798645,2015-01-29 22:24:00,"iPhone5,1",7.1,1.1
41.3047027588,-72.9283905029,8.15557670593,2015-01-29 23:17:20,"iPhone5,1",7.1,1.1
41.299785614,-72.9250946045,8.65822601318,2015-01-29 23:23:44,"iPhone5,1",7.1,1.1
41.2948684692,-72.9286193848,9.89810752869,2015-01-29 23:49:20,"iPhone5,1",7.1,1.1
41.2703895569,-72.965385437,18.2051124573,2015-01-29 23:53:36,"iPhone5,1",7.1,1.1
41.2349777222,-73.0111160278,16.579782486,2015-01-30 00:00:00,"iPhone5,1",7.1,1.1
41.2106552124,-73.0829772949,17.4827327728,2015-01-30 00:06:24,"iPhone5,1",7.1,1.1
41.1851844788,-73.1639251709,5.58399200439,2015-01-30 00:12:48,"iPhone5,1",7.1,1.1
41.1757202148,-73.1877365112,10.3420143127,2015-01-30 00:19:12,"iPhone5,1",7.1,1.1
41.1478729248,-73.2486877441,7.44748783112,2015-01-30 00:23:28,"iPhone5,1",7.1,1.1
41.1285057068,-73.2991867065,-0.14879989624,2015-01-30 00:27:44,"iPhone5,1",7.1,1.1
41.1218414307,-73.354637146,6.8491859436,2015-01-30 00:34:08,"iPhone5,1",7.1,1.1
41.1178436279,-73.3763961792,20.3468532562,2015-01-30 00:36:16,"iPhone5,1",7.1,1.1
41.101764679,-73.4104232788,-2.83422470093,2015-01-30 00:40:32,"iPhone5,1",7.1,1.1
41.0775947571,-73.4445037842,15.420583725,2015-01-30 00:44:48,"iPhone5,1",7.1,1.1
41.0724639893,-73.4847946167,19.2864894867,2015-01-30 00:49:04,"iPhone5,1",7.1,1.1
41.0506134033,-73.5318984985,7.71997070312,2015-01-30 00:55:28,"iPhone5,1",7.1,1.1
41.0391120911,-73.5526275635,17.953918457,2015-01-30 00:59:44,"iPhone5,1",7.1,1.1
41.0218734741,-73.6268081665,8.26592159271,2015-01-30 01:04:00,"iPhone5,1",7.1,1.1
40.9950256348,-73.6709289551,10.6713752747,2015-01-30 01:10:24,"iPhone5,1",7.1,1.1
40.9358482361,-73.7570419312,13.494852066,2015-01-30 01:14:40,"iPhone5,1",7.1,1.1
40.9120788574,-73.8223724365,21.359249115,2015-01-30 01:21:04,"iPhone5,1",7.1,1.1
40.8820724487,-73.8714675903,37.332736969,2015-01-30 01:27:28,"iPhone5,1",7.1,1.1
40.8218421936,-73.9206619263,14.0170536041,2015-01-30 01:31:44,"iPhone5,1",7.1,1.1
40.80519104,-73.9389343262,11.1399145126,2015-01-30 01:33:52,"iPhone5,1",7.1,1.1
40.7941398621,-73.9471206665,9.26322078705,2015-01-30 01:36:00,"iPhone5,1",7.1,1.1
40.7630157471,-73.9709243774,14.3593235016,2015-01-30 01:42:24,"iPhone5,1",7.1,1.1
40.7363700867,-73.9800491333,14.3593235016,2015-01-30 01:55:12,"iPhone5,1",7.1,1.1
40.7203292847,-73.9643478394,14.3593235016,2015-01-30 02:08:00,"iPhone5,1",7.1,1.1
40.7157897949,-73.960144043,7.07611083984,2015-01-30 02:12:16,"iPhone5,1",7.1,1.1
40.7245826721,-73.9706954956,6.97958374023,2015-01-30 16:14:56,"iPhone5,1",7.1,1.1
40.7285881042,-73.9939804077,13.0821838379,2015-01-30 16:25:36,"iPhone5,1",7.1,1.1
40.727558136,-73.9979400635,12.0885925293,2015-01-30 16:40:32,"iPhone5,1",7.1,1.1
40.7335472107,-73.9911270142,13.2690734863,2015-01-30 17:33:52,"iPhone5,1",7.1,1.1
40.7173538208,-73.9608535767,15.8549194336,2015-01-30 19:03:28,"iPhone5,1",7.1,1.1
40.7144203186,-73.9556045532,5.07302856445,2015-01-31 20:50:08,"iPhone5,1",7.1,1.1
40.6959953308,-73.9821472168,0.709838867188,2015-01-31 20:54:24,"iPhone5,1",7.1,1.1
40.685760498,-73.9789657593,3.06832885742,2015-01-31 20:58:40,"iPhone5,1",7.1,1.1
40.680644989,-73.980758667,12.732421875,2015-01-31 21:05:04,"iPhone5,1",7.1,1.1
40.7056541443,-74.0084457397,10.1092834473,2015-01-31 22:45:20,"iPhone5,1",7.1,1.1
40.7312736511,-73.9951705933,10.1092834473,2015-01-31 22:53:52,"iPhone5,1",7.1,1.1
40.7294082642,-73.9801712036,10.1092834473,2015-01-31 23:13:04,"iPhone5,1",7.1,1.1
40.7159156799,-73.9602279663,8.56015014648,2015-01-31 23:19:28,"iPhone5,1",7.1,1.1
40.7202606201,-73.9623413086,7.48239135742,2015-02-01 00:06:24,"iPhone5,1",7.1,1.1
40.7421951294,-73.9872741699,7.48239135742,2015-02-01 00:06:24,"iPhone5,1",7.1,1.1
40.7541427612,-73.9870834351,27.1521720886,2015-02-01 00:12:48,"iPhone5,1",7.1,1.1
40.7614593506,-73.9841842651,23.5402069092,2015-02-01 00:21:20,"iPhone5,1",7.1,1.1
40.7815361023,-73.9851608276,23.3915367126,2015-02-01 00:25:36,"iPhone5,1",7.1,1.1
40.7640151978,-73.9848175049,24.4722290039,2015-02-01 03:20:32,"iPhone5,1",7.1,1.1
40.7185783386,-73.9615249634,0,2015-02-01 04:05:20,"iPhone5,1",7.1,1.1
40.715927124,-73.9599838257,12.6071090698,2015-02-01 16:10:40,"iPhone5,1",7.1,1.1
40.7144699097,-73.9582366943,8.09426879883,2015-02-01 19:41:52,"iPhone5,1",7.1,1.1
40.6850624084,-73.9779510498,26.2739257812,2015-02-01 19:52:32,"iPhone5,1",7.1,1.1
40.6775436401,-73.9781570435,15.0942382812,2015-02-01 19:56:48,"iPhone5,1",7.1,1.1
40.6740760803,-73.9822845459,29.6659240723,2015-02-01 20:18:08,"iPhone5,1",7.1,1.1
40.6824989319,-73.9761886597,4.91873168945,2015-02-01 22:24:00,"iPhone5,1",7.1,1.1
40.7074279785,-73.9911422729,4.87661743164,2015-02-01 22:47:28,"iPhone5,1",7.1,1.1
40.7458610535,-73.9940719604,4.87661743164,2015-02-01 22:53:52,"iPhone5,1",7.1,1.1
40.7602920532,-73.9853363037,4.87661743164,2015-02-01 22:58:08,"iPhone5,1",7.1,1.1
40.7800598145,-73.9850006104,4.87661743164,2015-02-01 23:04:32,"iPhone5,1",7.1,1.1
40.7589836121,-73.9850463867,24.1211853027,2015-02-02 03:50:24,"iPhone5,1",7.1,1.1
40.7249298096,-73.9914627075,24.1211853027,2015-02-02 04:09:36,"iPhone5,1",7.1,1.1
40.6836395264,-73.9772567749,24.1211853027,2015-02-02 04:13:52,"iPhone5,1",7.1,1.1
40.6790847778,-73.9781036377,-3.53302001953,2015-02-02 04:22:24,"iPhone5,1",7.1,1.1
40.7258148193,-74.0068054199,35.3691711426,2015-02-02 11:24:48,"iPhone5,1",7.1,1.1
40.7388572693,-74.0611801147,28.9727516174,2015-02-02 11:29:04,"iPhone5,1",7.1,1.1
40.7351493835,-74.1205062866,8.79052734375,2015-02-02 11:35:28,"iPhone5,1",7.1,1.1
40.7083816528,-74.1670227051,6.51361083984,2015-02-02 11:39:44,"iPhone5,1",7.1,1.1
40.6900444031,-74.1782455444,0.212768554688,2015-02-02 11:44:00,"iPhone5,1",7.1,1.1
40.6978988647,-74.1789627075,-8.1669921875,2015-02-02 12:13:52,"iPhone5,1",7.1,1.1
40.7080307007,-74.1917724609,-47.4898071289,2015-02-02 14:32:32,"iPhone5,1",7.1,1.1
40.7003860474,-74.1807937622,37.9100646973,2015-02-02 14:41:04,"iPhone5,1",7.1,1.1
40.7079811096,-74.1917037964,39.2880249023,2015-02-02 14:47:28,"iPhone5,1",7.1,1.1
40.7079849243,-74.1917037964,39.2880249023,2015-02-02 15:04:32,"iPhone5,1",7.1,1.1
21.3394908905,-157.872344971,0,2015-02-03 03:29:04,"iPhone5,1",7.1,1.1
